Golden "goldens/principal_for_you_dark_375.png"	Pixel test failed, 0.07%, 224px
Golden "goldens/principal_for_you_dark_768.png"	Pixel test failed, 0.03%, 224px
Golden "goldens/principal_for_you_light_1024.png"	Pixel test failed, 0.02%, 224px
Golden "goldens/principal_for_you_light_1440.png"	Pixel test failed, 0.02%, 224px
Golden "goldens/principal_for_you_light_375.png"	Pixel test failed, 0.07%, 224px
Golden "goldens/principal_for_you_light_768.png"	Pixel test failed, 0.03%, 224px
Golden "goldens/principal_for_you_shortcut_hover_light_1440.png"	Pixel test failed, 0.02%, 224px
Golden "goldens/principal_for_you_text_200_dark_1440.png"	Pixel test failed, 0.01%, 224px
Golden "goldens/principal_for_you_text_200_light_375.png"	Pixel test failed, 0.05%, 224px
Golden "goldens/principal_for_you_text_200_light_768.png"	Pixel test failed, 0.03%, 224px
Golden "goldens/principal_happens_dark_1024.png"	Pixel test failed, 55.34%, 510059px
Golden "goldens/principal_happens_dark_1440.png"	Pixel test failed, 42.05%, 605551px
Golden "goldens/principal_happens_dark_375.png"	Pixel test failed, 47.39%, 159953px
Golden "goldens/principal_happens_dark_375_text_200.png"	Pixel test failed, 45.78%, 171659px
Golden "goldens/principal_happens_dark_768.png"	Pixel test failed, 53.72%, 422498px
Golden "goldens/principal_happens_light_1024.png"	Pixel test failed, 55.34%, 510037px
Golden "goldens/principal_happens_light_1440.png"	Pixel test failed, 42.05%, 605520px
Golden "goldens/principal_happens_light_375.png"	Pixel test failed, 47.38%, 159917px
